# Layout:
# Name,IP_Address,Port,TLS_Hostname,SPKI,IPv4/IPv6
# Empty lines are ignored

# IPv4
AdGuard 1,94.140.14.14,,dns.adguard.com,,IPv4
AdGuard 2,94.140.15.15,,dns.adguard.com,,IPv4
AdGuard 1 (unfiltered),94.140.14.140,,dns-unfiltered.adguard.com,,IPv4
AdGuard 2 (unfiltered),94.140.14.141,,dns-unfiltered.adguard.com,,IPv4
AdGuard 1 (family),94.140.14.15,,dns-family.adguard.com,,IPv4
Adguard 2 (family),94.140.15.16,,dns-family.adguard.com,,IPv4
Canadian Shield 1,149.112.121.10,,private.canadianshield.cira.ca,,IPv4
Canadian Shield 2,149.112.122.10,,private.canadianshield.cira.ca,,IPv4
Canadian Shield 1 (protected),149.112.121.20,,protected.canadianshield.cira.ca,,IPv4
Canadian Shield 2 (protected),149.112.122.20,,protected.canadianshield.cira.ca,,IPv4
Canadian Shield 1 (family),149.112.121.30,,family.canadianshield.cira.ca,,IPv4
Canadian Shield 2 (family),149.112.122.30,,family.canadianshield.cira.ca,,IPv4
Cisco Umbrella/OpenDNS 1,208.67.222.222,,dns.opendns.com,,IPv4
Cisco Umbrella/OpenDNS 2,208.67.222.220,,dns.opendns.com,,IPv4
CleanBrowsing 1 (security),185.228.168.9,,security-filter-dns.cleanbrowsing.org,,IPv4
CleanBrowsing 2 (security),185.228.169.9,,security-filter-dns.cleanbrowsing.org,,IPv4
CleanBrowsing 1 (family),185.228.168.168,,family-filter-dns.cleanbrowsing.org,,IPv4
CleanBrowsing 2 (family),185.228.169.168,,family-filter-dns.cleanbrowsing.org,,IPv4
CleanBrowsing 1 (adult filter),185.228.168.10,,adult-filter-dns.cleanbrowsing.org,,IPv4
CleanBrowsing 2 (adult filter),185.228.169.11,,adult-filter-dns.cleanbrowsing.org,,IPv4
Cloudflare 1,1.1.1.1,,cloudflare-dns.com,,IPv4
Cloudflare 2,1.0.0.1,,cloudflare-dns.com,,IPv4
Cloudflare 1 (family),1.1.1.3,,family.cloudflare-dns.com,,IPv4
Cloudflare 2 (family),1.0.0.3,,family.cloudflare-dns.com,,IPv4
Cloudflare 1 (security),1.1.1.2,,security.cloudflare-dns.com,,IPv4
Cloudflare 2 (security),1.0.0.2,,security.cloudflare-dns.com,,IPv4
Getdnsapi,185.49.141.37,,getdnsapi.net,foxZRnIh9gZpWnl+zEiKa0EJ2rdCGroMWm02gaxSc9Q=,IPv4
Google 1,8.8.8.8,,dns.google,,IPv4
Google 2,8.8.4.4,,dns.google,,IPv4
Mullvad,194.242.2.2,,doh.mullvad.net,,IPv4
Mullvad (filtered),194.242.2.3,,adblock.doh.mullvad.net,,IPv4
Quad9 1,9.9.9.9,,dns.quad9.net,,IPv4
Quad9 2,149.112.112.112,,dns.quad9.net,,IPv4

# IPv4 (port 443)
Neutopia,89.234.186.112,443,dns.neutopia.org,wTeXHM8aczvhRSi0cv2qOXkXInoDU+2C+M8MpRyT3OI=,IPv4
